Age,Treatment,t,t1
0,h,0.08631,0.137335047
1,h,0.137335047,0.197109245
2,h,0.197109245,0.261086974
3,h,0.261086974,0.32490346
4,h,0.32490346,0.385153916
5,h,0.385153916,0.439651211
6,h,0.439651211,0.487325772
7,h,0.487325772,0.527960939
8,h,0.527960939,0.561901656
9,h,0.561901656,0.589807282
10,h,0.589807282,0.612471039
11,h,0.612471039,0.630702577
12,h,0.630702577,0.645260053
13,h,0.645260053,0.656816824
14,h,0.656816824,0.665950215
15,h,0.665950215,0.673143158
16,h,0.673143158,0.678792498
17,h,0.678792498,0.683220095
18,h,0.683220095,0.686684449
19,h,0.686684449,0.689391641
20,h,0.689391641,0.691505044
21,h,0.691505044,0.693153617
22,h,0.693153617,0.694438821
23,h,0.694438821,0.695440276
24,h,0.695440276,0.696220343
25,h,0.696220343,0.696827791
26,h,0.696827791,0.697300714
27,h,0.697300714,0.697668839
28,h,0.697668839,0.697955353
29,h,0.697955353,0.698178323
30,h,0.698178323,0.698351829
31,h,0.698351829,0.698486836
32,h,0.698486836,0.69859188
33,h,0.69859188,0.69867361
34,h,0.69867361,0.698737196
35,h,0.698737196,0.698786667
36,h,0.698786667,0.698825154
37,h,0.698825154,0.698855096
38,h,0.698855096,0.69887839
39,h,0.69887839,0.698896512
40,h,0.698896512,0.69891061
41,h,0.69891061,0.698921577
42,h,0.698921577,0.698930109
43,h,0.698930109,0.698936747
44,h,0.698936747,0.69894191
45,h,0.69894191,0.698945927
46,h,0.698945927,0.698949052
47,h,0.698949052,0.698951483
48,h,0.698951483,0.698953375
49,h,0.698953375,0.698954846
50,h,0.698954846,0.69895599
51,h,0.69895599,0.698956881
52,h,0.698956881,0.698957573
53,h,0.698957573,0.698958112
54,h,0.698958112,0.698958531
55,h,0.698958531,0.698958858
56,h,0.698958858,0.698959111
57,h,0.698959111,0.698959309
58,h,0.698959309,0.698959462
59,h,0.698959462,0.698959582
60,h,0.698959582,0.698959675
61,h,0.698959675,0.698959747
62,h,0.698959747,0.698959803
63,h,0.698959803,0.698959847
64,h,0.698959847,0.698959881
65,h,0.698959881,0.698959907
66,h,0.698959907,0.698959928
67,h,0.698959928,0.698959944
68,h,0.698959944,0.698959956
69,h,0.698959956,0.698959966
70,h,0.698959966,0.698959974
71,h,0.698959974,0.698959979
72,h,0.698959979,0.698959984
73,h,0.698959984,0.698959988
74,h,0.698959988,0.69895999
75,h,0.69895999,0.698959992
76,h,0.698959992,0.698959994
77,h,0.698959994,0.698959995
78,h,0.698959995,0.698959996
79,h,0.698959996,0.698959997
80,h,0.698959997,0.698959997
0,l,0.08815,0.132907656
1,l,0.132907656,0.184950459
2,l,0.184950459,0.241289458
3,l,0.241289458,0.29886206
4,l,0.29886206,0.355022758
5,l,0.355022758,0.407791492
6,l,0.407791492,0.455898665
7,l,0.455898665,0.498702406
8,l,0.498702406,0.536048732
9,l,0.536048732,0.568123596
10,l,0.568123596,0.595323489
11,l,0.595323489,0.618154753
12,l,0.618154753,0.637161984
13,l,0.637161984,0.652881206
14,l,0.652881206,0.665812073
15,l,0.665812073,0.67640365
16,l,0.67640365,0.685049219
17,l,0.685049219,0.692086736
18,l,0.692086736,0.697802491
19,l,0.697802491,0.702436383
20,l,0.702436383,0.706187746
21,l,0.706187746,0.709221118
22,l,0.709221118,0.711671619
23,l,0.711671619,0.713649754
24,l,0.713649754,0.715245609
25,l,0.715245609,0.71653243
26,l,0.71653243,0.717569652
27,l,0.717569652,0.718405426
28,l,0.718405426,0.719078703
29,l,0.719078703,0.719620967
30,l,0.719620967,0.72005764
31,l,0.72005764,0.720409235
32,l,0.720409235,0.720692298
33,l,0.720692298,0.720920168
34,l,0.720920168,0.721103594
35,l,0.721103594,0.721251236
36,l,0.721251236,0.72137007
37,l,0.72137007,0.721465713
38,l,0.721465713,0.721542689
39,l,0.721542689,0.72160464
40,l,0.72160464,0.721654497
41,l,0.721654497,0.721694621
42,l,0.721694621,0.721726912
43,l,0.721726912,0.721752898
44,l,0.721752898,0.721773811
45,l,0.721773811,0.72179064
46,l,0.72179064,0.721804184
47,l,0.721804184,0.721815083
48,l,0.721815083,0.721823854
49,l,0.721823854,0.721830912
50,l,0.721830912,0.721836592
51,l,0.721836592,0.721841163
52,l,0.721841163,0.721844841
53,l,0.721844841,0.721847801
54,l,0.721847801,0.721850183
55,l,0.721850183,0.7218521
56,l,0.7218521,0.721853643
57,l,0.721853643,0.721854884
58,l,0.721854884,0.721855883
59,l,0.721855883,0.721856687
60,l,0.721856687,0.721857334
61,l,0.721857334,0.721857855
62,l,0.721857855,0.721858273
63,l,0.721858273,0.721858611
64,l,0.721858611,0.721858882
65,l,0.721858882,0.7218591
66,l,0.7218591,0.721859276
67,l,0.721859276,0.721859417
68,l,0.721859417,0.721859531
69,l,0.721859531,0.721859623
70,l,0.721859623,0.721859696
71,l,0.721859696,0.721859756
72,l,0.721859756,0.721859803
73,l,0.721859803,0.721859842
74,l,0.721859842,0.721859873
75,l,0.721859873,0.721859898
76,l,0.721859898,0.721859918
77,l,0.721859918,0.721859934
78,l,0.721859934,0.721859947
79,l,0.721859947,0.721859957
80,l,0.721859957,0.721859957
